,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
306,"[44, 44, 23, 13]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",5.9945,1.0,-0.628,0.02,0.0,True,0.0,0.0
307,"[44, 44, 23, 31]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.0142,1.0002,-0.458,0.0,0.0,True,0.0,0.0
308,"[44, 44, 23, 49]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.2309,0.9998,-0.115,0.01,0.0,True,0.0,0.0
309,"[44, 44, 23, 14]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.93,1.0,-0.565,85.07,0.01,True,0.9479,168.63
310,"[44, 44, 23, 32]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",6.0247,1.0005,-0.36,99.0,0.019,True,1.0,169.55
311,"[44, 44, 23, 50]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",6.24,1.0,-0.191,0.84,0.0,True,0.0036,0.55
312,"[44, 44, 23, 15]","[1, 0, 0]",26,"[1, 0, 0, 0, 0, 0]",5.55,1.218,-0.343,3.35,0.0,True,0.0471,8.39
313,"[44, 44, 23, 33]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.07,1.0,-0.121,96.54,0.0,True,1.928,319.79
314,"[44, 44, 23, 51]","[1, 0, 0]",26,"[1, 0, 0, 0, 0, 0]",5.8518,1.2114,-0.118,0.03,0.0,True,0.0002,0.03
315,"[44, 44, 24, 13]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.9697,0.9999,-0.347,92.21,0.0,True,1.071,186.78
316,"[44, 44, 24, 31]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.9937,1.0002,-0.186,90.72,0.0,True,1.1539,198.74
317,"[44, 44, 24, 49]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",6.22,1.0,0.157,88.03,0.0,False,1.2682,195.5
318,"[44, 44, 24, 14]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.9221,1.0,-0.413,97.16,0.313,True,2.0034,357.8
319,"[44, 44, 24, 32]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.0108,1.0001,-0.217,86.97,0.148,True,2.0241,345.73
320,"[44, 44, 24, 50]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.24,1.0,-0.079,71.39,0.0,True,2.0577,314.16
321,"[44, 44, 24, 15]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.92,1.0,-0.22,96.92,0.0,True,2.9699,531.01
322,"[44, 44, 24, 33]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.05,1.0,-0.042,95.5,0.0,True,2.9478,493.81
323,"[44, 44, 24, 51]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.2258,1.0087,-0.019,98.62,0.0,True,3.0034,457.73
324,"[44, 44, 25, 13]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.9759,0.9997,-0.399,60.72,0.0,True,2.1106,367.0
325,"[44, 44, 25, 31]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.996,1.0,-0.254,62.9,0.0,True,2.1457,369.26
326,"[44, 44, 25, 49]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.2306,0.9999,0.076,70.11,0.0,False,2.2152,339.79
327,"[44, 44, 25, 14]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.9166,0.9996,-0.465,96.58,0.123,True,3.011,539.5
328,"[44, 44, 25, 32]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.0069,1.0001,-0.264,94.43,0.114,True,3.0349,519.35
329,"[44, 44, 25, 50]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.2356,1.0,-0.134,90.83,0.114,True,3.0859,472.12
330,"[44, 44, 25, 15]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.91,1.0,-0.308,96.13,0.0,True,3.9618,711.96
331,"[44, 44, 25, 33]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.04,1.0,-0.129,92.31,0.0,True,3.9508,665.12
332,"[44, 44, 25, 51]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.24,1.0,-0.126,95.58,0.276,True,4.0241,614.39
333,"[44, 44, 26, 13]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.98,1.0,-0.305,79.09,0.0,True,3.1046,538.55
334,"[44, 44, 26, 31]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.9964,1.0005,-0.149,82.14,0.0,True,3.1606,543.48
335,"[44, 44, 26, 49]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.23,1.0,0.174,79.37,0.0,False,3.2673,501.25
336,"[44, 44, 26, 14]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.91,1.0,-0.362,73.14,0.0,True,3.9022,701.25
337,"[44, 44, 26, 32]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.01,1.0,-0.159,77.06,0.0,True,4.0354,689.59
338,"[44, 44, 26, 50]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.23,1.0,-0.046,66.57,0.0,True,4.147,636.2
339,"[44, 44, 26, 15]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.8963,0.9982,-0.191,70.39,0.0,True,4.1472,751.84
340,"[44, 44, 26, 33]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",6.02,1.0,-0.01,81.74,0.0,True,4.2502,722.68
341,"[44, 44, 26, 51]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",6.22,1.0,0.0,71.95,0.0,True,4.388,676.43
342,"[44, 44, 27, 13]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.95,1.0,-0.152,29.38,0.0,True,2.1645,381.18
343,"[44, 44, 27, 31]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.97,1.0,0.002,36.96,0.0,False,1.6152,281.6
344,"[44, 44, 27, 49]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.175,0.9969,0.366,1.93,0.0,False,0.2047,32.35
345,"[44, 44, 27, 14]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.87,1.0,-0.242,27.77,0.0,True,1.9178,351.74
346,"[44, 44, 27, 32]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.96,1.0,-0.032,24.61,0.0,True,1.9867,348.11
347,"[44, 44, 27, 50]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",6.1683,0.9986,0.118,48.23,0.0,False,3.0292,479.45
348,"[44, 44, 27, 15]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.84,1.0,-0.151,5.88,0.0,True,2.2273,414.83
349,"[44, 44, 27, 33]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.98,1.0,0.05,5.98,0.0,False,2.5327,439.35
350,"[44, 44, 27, 51]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",6.19,1.0,0.093,57.07,0.0,False,2.8044,438.63
351,"[44, 44, 28, 13]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.94,1.0,-0.185,0.0,0.0,True,0.0,0.0
352,"[44, 44, 28, 31]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.956,1.0002,-0.048,0.0,0.0,True,0.0001,0.02
353,"[44, 44, 28, 49]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",6.183,1.0025,0.295,1.89,0.0,False,0.4478,70.1
354,"[44, 44, 28, 14]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.8584,0.9999,-0.297,2.65,0.0,True,0.2722,50.22
355,"[44, 44, 28, 32]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.9512,0.9999,-0.089,0.5,0.0,True,0.4651,81.87
356,"[44, 44, 28, 50]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",6.19,1.0,0.068,34.34,0.0,False,1.798,281.22
357,"[44, 44, 28, 15]","[1, 0, 0]",31,"[0, 1, 0, 0, 0, 0]",5.8253,0.9997,-0.232,0.0,0.0,True,0.0001,0.02
358,"[44, 44, 28, 33]","[1, 0, 0]",31,"[0, 1, 0, 0, 0, 0]",5.96,1.0,-0.017,0.0,0.0,True,0.0008,0.14
359,"[44, 44, 28, 51]","[1, 0, 0]",31,"[0, 1, 0, 0, 0, 0]",6.18,1.0,0.037,33.41,0.0,False,1.6166,254.08
360,"[27, 27, 21, 13]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",5.97,1.0,-0.51,0.05,0.0,True,0.0001,0.02
361,"[27, 27, 21, 31]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",5.97,1.0,-0.438,0.03,0.0,True,0.0001,0.02
362,"[27, 27, 21, 49]","[1, 0, 0]",24,"[0, 1, 0, 0, 0, 0]",6.21,1.0,-0.246,0.02,0.0,True,0.0,0.0
363,"[27, 27, 21, 14]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.87,1.0,-0.581,100.0,0.104,True,1.0,183.41
364,"[27, 27, 21, 32]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.9621,0.9999,-0.461,93.33,0.0,True,1.0143,177.56
365,"[27, 27, 21, 50]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",6.21,1.0,-0.424,87.62,0.0,True,1.0378,160.76
366,"[27, 27, 21, 15]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.8344,0.9996,-0.552,67.39,0.465,True,2.0,373.72
367,"[27, 27, 21, 33]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.99,1.0,-0.408,87.34,0.147,True,1.997,344.69
368,"[27, 27, 21, 51]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.22,1.0,-0.414,100.0,0.295,True,2.0,308.31
369,"[27, 27, 22, 13]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.83,1.0,-0.621,60.07,0.267,True,1.0,187.21
370,"[27, 27, 22, 31]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",5.83,1.0,-0.525,91.02,0.0,True,1.0005,187.3
371,"[27, 27, 22, 49]","[1, 0, 0]",25,"[0, 1, 0, 0, 0, 0]",6.07,1.0,-0.251,88.37,0.0,True,1.0284,170.58
372,"[27, 27, 22, 14]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.75,1.0,-0.669,7.5,0.528,True,2.0,390.26
373,"[27, 27, 22, 32]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.8394,1.0006,-0.505,14.8,0.332,True,2.0,372.37
374,"[27, 27, 22, 50]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.09,1.0,-0.397,100.0,0.243,True,2.0,328.48
375,"[27, 27, 22, 15]","[1, 0, 0]",27,"[1, 0, 0, 0, 0, 0]",5.22,1.2989,-0.614,22.88,0.0,True,0.9248,185.7
376,"[27, 27, 22, 33]","[1, 0, 0]",27,"[1, 0, 0, 0, 0, 0]",5.38,1.277,-0.408,67.19,0.0,True,0.9743,181.76
377,"[27, 27, 22, 51]","[1, 0, 0]",27,"[1, 0, 0, 0, 0, 0]",5.78,1.1574,-0.322,7.78,0.0,True,1.2418,206.11
378,"[27, 27, 23, 13]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.74,1.0,-0.412,94.88,0.309,True,1.9985,392.01
379,"[27, 27, 23, 31]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",5.7561,1.0,-0.296,100.0,0.161,True,2.0,389.03
